platform	source	api_name_status
fc	Great Battle Cyber (Japan).zip	rom_name_not_in_api
fc	Great Tank (Japan).zip	rom_name_not_in_api
fc	Gun Nac (Japan).zip	rom_name_not_in_api
fc	Gun-Dec (Japan).zip	rom_name_not_in_api
fc	Gunhed - Aratanaru Tatakai (Japan).zip	rom_name_not_in_api
fc	Gyrodine (Japan) (En).zip	rom_name_not_in_api
fc	Hana no Star Kaidou (Japan) (En).zip	rom_name_not_in_api
fc	Hanjuku Hero (Japan).zip	rom_name_not_in_api
fc	Heavy Barrel (Japan) (En).zip	rom_name_not_in_api
fc	Hebereke (Japan).zip	rom_name_not_in_api
fc	Hector '87 (Japan) (En).zip	rom_name_not_in_api
fc	Heisei Tensai Bakabon (Japan).zip	rom_name_not_in_api
fc	Hello Kitty World (Japan).zip	rom_name_not_in_api
fc	Hello Kitty no Ohanabatake (Japan).zip	rom_name_not_in_api
fc	Heracles no Eikou II - Titan no Metsubou (Japan).zip	rom_name_not_in_api
fc	Herakles no Eikou - Toujin Makyou Den (Japan).zip	rom_name_not_in_api
fc	Hi no Tori - Houou Hen - Gaou no Bouken (Japan).zip	rom_name_not_in_api
fc	Higemaru - Makai-jima - Nanatsu no Shima Daibouken (Japan) (Retro-Bit Generations).zip	rom_name_not_in_api
fc	Highway Star (Japan) (En) (Famicom 3D System).zip	rom_name_not_in_api
fc	Hikari no Senshi Foton - The Ultimate Game on Planet Earth (Japan).zip	rom_name_not_in_api
fc	Hiryuu no Ken - Ougi no Sho (Japan).zip	rom_name_not_in_api
fc	Hiryuu no Ken III - 5 Nin no Dragon (Japan).zip	rom_name_not_in_api
fc	Hogan's Alley (World).zip	rom_name_not_in_api
fc	Hokkaidou Rensa Satsujin - Okhotsk ni Kiyu (Japan).zip	rom_name_not_in_api
fc	Hokuto no Ken 2 (Japan).zip	rom_name_not_in_api
fc	Hokuto no Ken 3 - Shin Seiki Souzou Seiken Retsuden (Japan).zip	rom_name_not_in_api
fc	Hokuto no Ken 4 - Shichisei Haken Den - Hokuto Shinken no Kanata e (Japan).zip	rom_name_not_in_api
fc	Holy Diver (Japan) (En).zip	rom_name_not_in_api
fc	Honoo no Toukyuuji - Dodge Danpei (Japan).zip	rom_name_not_in_api
fc	Honoo no Toukyuuji - Dodge Danpei 2 (Japan).zip	rom_name_not_in_api
fc	Hoshi o Miru Hito (Japan).zip	rom_name_not_in_api
fc	Hottarman no Chitei Tanken (Japan).zip	rom_name_not_in_api
fc	Hudson Hawk (Japan).zip	rom_name_not_in_api
fc	Hyakkiyagyou (Japan).zip	rom_name_not_in_api
fc	Hyokkori Hyoutan-jima - Nazo no Kaizokusen (Japan).zip	rom_name_not_in_api
fc	Hyper Olympic (Japan) (En).zip	rom_name_not_in_api
fc	Igo - Kyuu Roban Taikyoku (Japan).zip	rom_name_not_in_api
fc	Igo Shinan '91 (Japan).zip	rom_name_not_in_api
fc	Igo Shinan '92 (Japan).zip	rom_name_not_in_api
fc	Igo Shinan '93 (Japan).zip	rom_name_not_in_api
fc	Igo Shinan '94 (Japan).zip	rom_name_not_in_api
fc	Igo Shinan (Japan).zip	rom_name_not_in_api
fc	Ikari (Japan) (En).zip	rom_name_not_in_api
fc	Ikari II - Dogosoken (Japan).zip	rom_name_not_in_api
fc	Ike Ike! Nekketsu Hockey-bu - Subette Koronde Dairantou (Japan).zip	rom_name_not_in_api
fc	Ikinari Musician (Japan) (En).zip	rom_name_not_in_api
fc	Ikki (Japan) (En).zip	rom_name_not_in_api
fc	Insector X (Japan).zip	rom_name_not_in_api
fc	Itadaki Street - Watashi no Omise ni Yottette (Japan).zip	rom_name_not_in_api
fc	J.League Super Top Players (Japan) (Datach).zip	rom_name_not_in_api
fc	JJ - Tobidase Daisakusen Part 2 (Japan).zip	rom_name_not_in_api
fc	Jajamaru no Daibouken (Japan).zip	rom_name_not_in_api
fc	Jumpin' Kid - Jack to Mame no Ki Monogatari (Japan) (En).zip	rom_name_not_in_api
fc	Juuouki (Japan) (En).zip	rom_name_not_in_api
fc	Juuryoku Soukou Metal Storm (Japan).zip	rom_name_not_in_api
fc	Juvei Quest (Japan) (Rev 1).zip	rom_name_not_in_api
fc	Kage (Japan).zip	rom_name_not_in_api
fc	Kaiketsu Yanchamaru 3 - Taiketsu! Zouringen (Japan).zip	rom_name_not_in_api
fc	Kakefu-kun no Jump Tengoku - Speed Jigoku (Japan).zip	rom_name_not_in_api
fc	Kame no Ongaeshi - Urashima Densetsu (Japan).zip	rom_name_not_in_api
fc	Kamen Rider SD - Granshocker no Yabou (Japan).zip	rom_name_not_in_api
fc	Karakuri Kengou Den Musashi Lord - Karakuribito Hashiru (Japan).zip	rom_name_not_in_api
fc	Karaoke Studio Senyou Cassette - Top Hit 20 Vol. 1 (Japan).zip	rom_name_not_in_api
fc	Karaoke Studio Senyou Cassette - Top Hit 20 Vol. 2 (Japan).zip	rom_name_not_in_api
fc	Karateka (Japan) (En).zip	rom_name_not_in_api
fc	Kawa no Nushi Tsuri (Japan).zip	rom_name_not_in_api
fc	Kekkyoku Nankyoku Daibouken (Japan).zip	rom_name_not_in_api
fc	Kero Kero Keroppi no Daibouken 2 - Donuts Ike wa Oosawagi!! (Japan).zip	rom_name_not_in_api
fc	Keroppi to Keroriinu no Splash Bomb! (Japan).zip	rom_name_not_in_api
fc	Ki no Bouken - The Quest of Ki (Japan).zip	rom_name_not_in_api
fc	Kidou Senshi Z Gundam - Hot Scramble (Japan).zip	rom_name_not_in_api
fc	King Kong 2 - Ikari no Megaton Punch (Japan).zip	rom_name_not_in_api
fc	Kinnikuman - Muscle Tag Match (Japan) (Rev 1).zip	rom_name_not_in_api
fc	Konami Wai Wai World (Japan).zip	rom_name_not_in_api
