platform	source	reason
fc	Majou Densetsu 2 - Daimashikyou Galious (Japan).zip	unmatched ROM
fc	Mappy (Japan) (En).zip	unmatched ROM
fc	Mappy-Land (Japan).zip	unmatched ROM
fc	Mario Bros. (Japan).zip	unmatched ROM
fc	Mashin Eiyuuden Wataru Gaiden (Japan).zip	unmatched ROM
fc	Masuzoe Youichi - Asa Made Famicom (Japan).zip	unmatched ROM
fc	Matsumoto Tooru no Kabushiki Hisshou Gaku (Japan).zip	unmatched ROM
fc	Matsumoto Tooru no Kabushiki Hisshou Gaku - Part II (Japan).zip	unmatched ROM
fc	Meikyuu Kumikyoku (Japan).zip	unmatched ROM
fc	Meikyuu-jima (Japan).zip	unmatched ROM
fc	Metro-Cross (Japan).zip	unmatched ROM
fc	Mickey Mouse (Japan).zip	unmatched ROM
fc	Mickey Mouse III - Yume Fuusen (Japan).zip	unmatched ROM
fc	Minelvaton Saga - Ragon no Fukkatsu (Japan).zip	unmatched ROM
fc	Mini-Putt (Japan).zip	unmatched ROM
fc	Miracle Ropit's - 2100 Nen no Daibouken (Japan).zip	unmatched ROM
fc	Mississippi Satsujin Jiken (Japan) (Rev 1).zip	unmatched ROM
fc	Mito Koumon - Sekai Manyuu Ki (Japan).zip	unmatched ROM
fc	Moai-kun (Japan).zip	unmatched ROM
fc	Moero TwinBee - Cinnamon Hakase o Sukue! (Japan).zip	unmatched ROM
fc	Moero!! Juudou Warriors (Japan).zip	unmatched ROM
fc	Momotarou Densetsu (Japan).zip	unmatched ROM
fc	Momotarou Dentetsu (Japan).zip	unmatched ROM
fc	Money Game II, The - Kabutochou no Kiseki (Japan).zip	unmatched ROM
fc	Mottomo Abunai Deka (Japan).zip	unmatched ROM
fc	Moulin Rouge Senki - Melville no Honoo (Japan).zip	unmatched ROM
fc	Mugen Senshi Valis (Japan).zip	unmatched ROM
fc	Murder Club - Honkaku Mystery Adventure (Japan).zip	unmatched ROM
fc	Musashi no Ken - Tadaima Shugyou Chuu (Japan).zip	unmatched ROM
fc	Nagagutsu wo Haita Neko - Sekai Isshuu 80 Nichi Daibouken (Japan).zip	unmatched ROM
fc	Namco Classic II (Japan).zip	unmatched ROM
fc	Nangoku Shirei!! - Spy vs Spy (Japan).zip	unmatched ROM
fc	Navy Blue (Japan).zip	unmatched ROM
fc	Nekketsu Kakutou Densetsu (Japan).zip	unmatched ROM
fc	Nekketsu Kouha Kunio-kun (Japan).zip	unmatched ROM
fc	Nekketsu! Street Basket - Ganbare Dunk Heroes (Japan).zip	unmatched ROM
