status	local_id	rom	local_titles	official_title	genre	maker	releases	first_release_date	suggested_title	suggestion_score
official_exact	real-bout-fatal-fury-special-real-bout-garou-densetsu-special-rbffspec	rbffspec.zip	リアルバウト餓狼伝説スペシャル | Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special	リアルバウト餓狼伝説スペシャル	格闘アクション	SNK	ＭＶＳカートリッジ ：1997/01/28 | ＮＥＯＧＥＯ ＲＯＭ：1997/02/28 | ＮＥＯＧＥＯ ＣＤ　：1997/03/03	1997-01-28		
official_exact	riding-hero-ridhero	ridhero.zip	ライディングヒーロー | Riding Hero	ライディングヒーロー	3Dレース	SNK	ＭＶＳカートリッジ ：1990/07/24 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1995/05/26	1990-07-24		
official_exact	robo-army-roboarmy	roboarmy.zip	ロボアーミー | Robo Army	ロボアーミー	アクション	SNK	ＭＶＳカートリッジ ：1991/10/30 | ＮＥＯＧＥＯ ＲＯＭ：1991/12/20 | ＮＥＯＧＥＯ ＣＤ　：1995/04/21	1991-10-30		
official_alias	samurai-shodown-ii-shin-samurai-spirits-haohmaru-jigokuhen-samsho2	samsho2.zip	真サムライスピリッツ 覇王丸地獄変 | Samurai Shodown II / Shin Samurai Spirits - Haohmaru Jigokuhen | 真サムライスピリッツ	真サムライスピリッツ	格闘アクション	SNK	ＭＶＳカートリッジ ：1994/10/28 | ＮＥＯＧＥＯ ＲＯＭ：1994/12/02 | ＮＥＯＧＥＯ ＣＤ　：1994/12/15	1994-10-28		
official_exact	samurai-shodown-iii-samurai-spirits-zankurou-musouken-samsho3	samsho3.zip	サムライスピリッツ 斬紅郎無双剣 | Samurai Shodown III / Samurai Spirits - Zankurou Musouken	サムライスピリッツ斬紅郎無双剣	格闘アクション	SNK	ＭＶＳカートリッジ ：1995/11/15 | ＮＥＯＧＥＯ ＲＯＭ：1995/12/01 | ＮＥＯＧＥＯ ＣＤ　：1995/12/29	1995-11-15		
official_exact	samurai-shodown-iv-amakusa-s-revenge-samurai-spirits-amakusa-kourin-samsho4	samsho4.zip	サムライスピリッツ 天草降臨 | Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin	サムライスピリッツ天草降臨	格闘アクション	SNK	ＭＶＳカートリッジ ：1996/10/25 | ＮＥＯＧＥＯ ＲＯＭ：1996/11/29 | ＮＥＯＧＥＯ ＣＤ　：1996/12/27	1996-10-25		
official_exact	samurai-shodown-samurai-spirits-samsho	samsho.zip	サムライスピリッツ | Samurai Shodown / Samurai Spirits	サムライスピリッツ	格闘アクション	SNK	ＭＶＳカートリッジ ：1993/07/07 | ＮＥＯＧＥＯ ＲＯＭ：1993/08/11 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1993-07-07		
official_exact	samurai-shodown-v-samurai-spirits-zero-samsho5	samsho5.zip	サムライスピリッツ零 | Samurai Shodown V / Samurai Spirits Zero	サムライスピリッツ零	格闘アクション	SNKプレイモア/悠紀エンタープライズ	ＭＶＳカートリッジ ：2003/10/10 | ＮＥＯＧＥＯ ＲＯＭ：2003/12/11	2003-10-10		
official_exact	samurai-shodown-v-special-samurai-spirits-zero-special-samsh5sp	samsh5sp.zip	サムライスピリッツ零スペシャル | Samurai Shodown V Special / Samurai Spirits Zero Special	サムライスピリッツ零スペシャル	格闘アクション	SNKプレイモア/悠紀エンタープライズ	ＭＶＳカートリッジ ：2004/04/22 | ＮＥＯＧＥＯ ＲＯＭ：2004/07/15	2004-04-22		
official_alias	savage-reign-fu-un-mokushiroku-kakutou-sousei-savagere	savagere.zip	風雲黙示録 | Savage Reign / Fu'un Mokushiroku - Kakutou Sousei | 風雲黙示録 －格闘創世－	風雲黙示録 －格闘創世－	格闘アクション	SNK	ＭＶＳカートリッジ ：1995/04/25 | ＮＥＯＧＥＯ ＲＯＭ：1995/03/10 | ＮＥＯＧＥＯ ＣＤ　：1995/06/16	1995-03-10		
official_exact	sengoku-2-sengoku-denshou-2-sengoku2	sengoku2.zip	戦国伝承2 | Sengoku 2 / Sengoku Denshou 2	戦国伝承2	アクション	SNK	ＭＶＳカートリッジ ：1993/02/18 | ＮＥＯＧＥＯ ＲＯＭ：1993/04/09 | ＮＥＯＧＥＯ ＣＤ　：1995/03/17	1993-02-18		
official_exact	sengoku-3-sengoku-densho-2001-sengoku3	sengoku3.zip	戦国伝承2001 | Sengoku 3 / Sengoku Densho 2001	戦国伝承2001	アクション	SNKプレイモア	ＭＶＳカートリッジ ：2001/07/18 | ＮＥＯＧＥＯ ＲＯＭ：2001/10/25	2001-07-18		
